score,lateness,num_posts,avg_post_length,category
0,-4,2,1519.0,type1
2.5,-2,1,1106.0,type1
0,-8,2,885.0,type1
3.1,-49,1,1290.0,type1
4.0,0,2,1293.0,type1
4.0,-2,2,880.5,type1
4.0,-8,2,1450.0,type1
2.0,9,3,1012.0,type1
4.0,-1,2,1239.0,type1
4.0,-1,5,482.6,type1
3.5,-8,2,284.5,type1
0,0,0,0.0,type1
4.0,-2,1,382.0,type1
4.0,-1,1,420.0,type1
4.0,0,1,824.0,type1
4.0,-20,1,572.0,type1
2.0,10,1,921.0,type1
4.0,0,1,1196.0,type1
4.0,-3,1,335.0,type1
3.7,-151,4,223.5,type1
