score,lateness,num_posts,avg_post_length,category
40,-11,3,590.0,type1
40,10,4,464.0,type1
30,-16,3,589.333333333,type1
40,19,6,881.333333333,type1
50,-32,4,557.5,type1
30,-25,6,323.333333333,type1
30,-31,6,303.666666667,type1
50,-37,7,143.142857143,type1
50,-37,4,469.75,type1
50,45,4,452.0,type1
50,-23,8,600.75,type1
40,-45,6,819.833333333,type1
30,12,1,1495.0,type1
30,-5,1,1430.0,type1
40,-29,1,1550.0,type1
40,-20,3,259.666666667,type1
50,-46,3,604.333333333,type1
50,-12,7,308.571428571,type1
40,-16,5,361.4,type1
40,-31,1,1764.0,type1
50,-22,2,851.5,type1
40,-37,2,860.0,type1
50,69,4,497.0,type1
50,-46,2,775.0,type1
30,3,2,876.5,type1
40,42,3,600.0,type1
40,-1,1,2032.0,type1
50,55,7,506.428571429,type1
50,63,9,264.0,type1
40,57,7,523.714285714,type1
40,-11,7,525.714285714,type1
50,-42,7,540.857142857,type1
40,-42,11,393.636363636,type1
50,-21,4,1643.25,type1
50,27,6,581.166666667,type1
0,0,0,0.0,type1
40,7,6,591.666666667,type1
50,53,5,224.6,type1
50,-11,6,647.0,type1
50,-5,9,405.444444444,type1
50,-4,6,668.166666667,type1
0,0,0,0.0,type1
50,52,4,794.0,type1
50,-9,5,664.4,type1
50,48,4,988.25,type1
50,22,2,668.5,type1
50,-27,5,659.6,type1
0,0,0,0.0,type1
50,-24,3,967.666666667,type1
50,4,3,1285.0,type1
50,71,1,3385.0,type1
0,0,0,0.0,type1
50,-37,5,718.6,type1
0,0,0,0.0,type1
50,-48,3,1083.0,type1
50,70,6,615.166666667,type1
40,-46,4,1005.75,type1
50,6,4,429.5,type1
50,-17,5,320.6,type1
50,-24,4,440.25,type1
50,-46,6,300.666666667,type1
50,-5,4,488.5,type1
40,-3,4,377.25,type1
40,-41,5,378.8,type1
0,0,0,0.0,type1
50,-2,4,468.25,type1
50,59,6,382.333333333,type1
50,-45,4,191.5,type1
50,-43,5,441.4,type1
50,-48,6,340.666666667,type1
40,-8,3,460.666666667,type1
50,-32,7,292.428571429,type1
50,42,4,438.5,type1
50,-10,3,668.333333333,type1
50,-13,4,569.0,type1
50,-18,1,559.0,type1
50,-39,4,407.5,type1
0,0,0,0.0,type1
50,57,2,675.0,type1
50,-10,2,943.0,type1
50,-45,2,936.5,type1
40,-3,3,631.333333333,type1
50,-22,2,675.0,type1
50,-13,3,674.333333333,type1
50,-45,3,620.333333333,type1
40,-32,2,822.0,type1
50,-37,4,559.25,type1
40,9,8,348.0,type1
40,-19,2,75.0,type1
40,6,3,374.333333333,type1
50,-38,1,651.0,type1
40,39,2,586.5,type1
40,-4,5,474.4,type1
40,38,1,1102.0,type1
40,-17,3,352.333333333,type1
50,5,2,560.0,type1
50,34,3,363.0,type1
40,45,3,136.0,type1
30,19,2,433.5,type1
40,33,2,308.5,type1
50,-25,4,627.75,type1
40,-8,3,726.0,type1
50,22,2,405.0,type1
50,71,1,745.0,type1
40,12,2,533.0,type1
50,65,4,204.75,type1
40,43,5,238.2,type1
40,55,2,515.0,type1
40,72,1,233.0,type1
50,33,2,604.5,type1
40,-34,2,476.5,type1
40,7,1,792.0,type1
30,28,1,1057.0,type1
50,44,1,535.0,type1
30,-8,1,677.0,type1
40,67,1,995.0,type1
50,27,1,1195.0,type1
50,-30,2,361.0,type1
40,-39,4,263.75,type1
50,-11,3,428.666666667,type1
40,-45,3,313.666666667,type1
50,-12,1,678.0,type1
50,-10,2,332.0,type1
30,-27,2,591.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
40,-22,2,111.5,type1
40,-28,2,537.5,type1
40,-14,4,309.75,type1
30,-3,2,423.0,type1
40,-19,4,754.25,type1
50,-16,2,507.5,type1
40,-8,3,310.333333333,type1
50,-11,3,482.0,type1
0,0,0,0.0,type1
40,-39,3,304.0,type1
40,-34,1,541.0,type1
40,-18,1,547.0,type1
40,-3,1,1057.0,type1
50,-37,1,991.0,type1
0,0,0,0.0,type1
40,-40,2,383.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
50,-43,5,309.8,type1
50,-1,2,608.5,type1
40,-26,4,488.0,type1
40,-30,2,242.5,type1
0,0,0,0.0,type1
50,-29,3,631.0,type1
40,-1,1,798.0,type1
40,-33,4,301.5,type1
30,-18,2,331.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
40,-34,2,226.0,type1
50,-4,1,735.0,type1
30,-44,5,337.8,type1
0,0,0,0.0,type1
30,-28,3,366.0,type1
40,-24,1,979.0,type1
50,-11,2,662.0,type1
40,-12,1,956.0,type1
40,-29,1,26.0,type1
0,0,0,0.0,type1
30,-26,1,895.0,type1
50,-19,1,741.0,type1
0,0,0,0.0,type1
50,-14,2,578.0,type1
50,-43,1,1047.0,type1
0,0,0,0.0,type1
30,-19,3,350.666666667,type1
40,-5,1,894.0,type1
40,-33,1,774.0,type1
40,-30,3,499.666666667,type1
50,-15,3,396.666666667,type1
30,41,2,248.0,type1
40,12,2,412.5,type1
0,0,0,0.0,type1
50,-42,2,350.0,type1
50,-47,2,587.0,type1
50,-6,5,498.4,type1
0,0,0,0.0,type1
40,36,1,940.0,type1
0,0,0,0.0,type1
50,-8,2,238.0,type1
40,45,3,441.0,type1
40,-1,5,223.8,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
50,-29,2,483.0,type1
50,62,4,385.5,type1
40,-11,4,337.25,type1
40,-13,1,356.0,type1
50,-7,3,370.0,type1
0,0,0,0.0,type1
50,25,1,806.0,type1
50,65,4,406.75,type1
0,0,0,0.0,type1
40,48,1,941.0,type1
40,-42,2,450.0,type1
0,0,0,0.0,type1
40,-14,3,401.666666667,type1
0,0,0,0.0,type1
30,-33,1,1106.0,type1
50,-22,5,470.4,type1
50,-36,2,424.5,type1
50,-32,4,457.75,type1
50,-3,6,948.166666667,type1
50,-32,5,414.6,type1
50,-44,5,692.2,type1
40,-45,4,636.75,type1
50,-35,3,531.666666667,type1
50,-33,4,516.25,type1
50,-15,5,694.6,type1
50,-40,3,190.666666667,type1
50,-9,5,711.6,type1
50,-8,3,657.333333333,type1
50,-12,3,670.666666667,type1
50,-14,5,376.4,type1
50,-47,3,670.666666667,type1
50,-47,3,660.333333333,type1
40,-14,4,568.5,type1
50,-26,6,203.833333333,type1
50,-42,3,533.333333333,type1
40,7,2,899.5,type1
50,-42,6,426.666666667,type1
40,-3,1,2578.0,type1
40,-34,3,642.0,type1
50,-33,1,2234.0,type1
50,-23,2,758.0,type1
50,48,3,541.333333333,type1
50,-39,2,1118.5,type1
50,-12,2,970.0,type1
50,-1,3,870.333333333,type1
0,0,0,0.0,type1
50,-16,2,95.0,type1
50,-44,3,540.0,type1
30,32,5,615.2,type1
40,51,2,520.5,type1
30,59,4,405.75,type1
40,32,3,592.333333333,type1
50,30,5,207.8,type1
40,25,3,359.666666667,type1
40,14,4,327.25,type1
40,-7,3,129.333333333,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
40,11,2,655.0,type1
0,0,0,0.0,type1
40,45,3,203.333333333,type1
0,0,0,0.0,type1
50,27,2,571.0,type1
50,-34,2,100.5,type1
40,54,1,1128.0,type1
50,42,3,448.333333333,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
40,-14,2,592.5,type1
50,48,4,319.25,type1
40,-6,5,294.8,type1
40,-33,3,362.333333333,type1
0,0,0,0.0,type1
40,60,1,649.0,type1
40,41,1,994.0,type1
50,-45,4,423.0,type1
50,-24,1,387.0,type1
50,-23,4,323.25,type1
50,-35,7,713.571428571,type1
50,-44,6,341.666666667,type1
50,-27,4,334.5,type1
50,-22,4,551.75,type1
50,-27,3,586.0,type1
50,-24,4,401.75,type1
40,-20,9,226.888888889,type1
50,-48,2,220.5,type1
50,-11,5,341.8,type1
50,-16,3,983.0,type1
50,-19,4,471.25,type1
50,-13,11,492.181818182,type1
50,-21,7,343.857142857,type1
50,-41,3,551.333333333,type1
40,-42,2,950.5,type1
50,-43,3,195.0,type1
50,-23,4,479.75,type1
50,-17,2,590.5,type1
40,-5,2,787.5,type1
50,-14,4,509.5,type1
50,-19,1,1162.0,type1
50,-30,2,815.5,type1
50,-33,2,899.0,type1
50,-7,4,446.0,type1
50,-13,6,326.5,type1
50,-9,2,1104.0,type1
50,-27,2,1067.5,type1
40,-25,10,393.3,type1
30,3,3,332.666666667,type1
50,-28,4,501.0,type1
50,-24,8,248.5,type1
40,39,1,1345.0,type1
50,-10,6,640.166666667,type1
40,-13,5,729.4,type1
50,-40,3,630.0,type1
40,-3,1,1023.0,type1
40,-32,4,807.25,type1
40,-15,3,101.666666667,type1
30,-19,3,792.333333333,type1
40,-26,2,1117.5,type1
50,-34,6,589.833333333,type1
40,-48,6,583.166666667,type1
40,16,4,361.5,type1
50,-28,3,459.0,type1
40,-43,1,1034.0,type1
40,-27,1,306.0,type1
30,-37,2,839.0,type1
30,-11,3,510.333333333,type1
40,21,2,485.0,type1
40,-8,1,1050.0,type1
40,-39,1,1117.0,type1
50,-26,3,520.0,type1
40,-7,3,541.666666667,type1
30,-10,1,861.0,type1
50,-27,3,496.0,type1
40,-1,3,558.0,type1
40,66,4,422.5,type1
0,0,0,0.0,type1
50,-27,8,248.25,type1
0,0,0,0.0,type1
50,3,9,722.0,type1
40,64,8,470.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
50,-8,8,528.375,type1
0,0,0,0.0,type1
50,44,5,619.8,type1
40,15,8,238.25,type1
30,-10,8,465.125,type1
50,-38,4,812.75,type1
0,0,0,0.0,type1
40,43,6,1656.33333333,type1
0,0,0,0.0,type1
40,-29,5,708.2,type1
40,2,3,1161.66666667,type1
50,-32,2,675.5,type1
0,0,0,0.0,type1
50,40,3,1060.66666667,type1
30,40,3,905.333333333,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
50,-6,2,1667.5,type1
50,-3,4,815.75,type1
50,-32,3,1008.0,type1
50,-4,3,1157.66666667,type1
0,0,0,0.0,type1
30,38,4,984.75,type1
50,21,4,570.25,type1
0,0,0,0.0,type1
40,26,1,779.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
50,59,3,217.0,type1
50,-35,5,225.4,type1
50,-30,2,437.0,type1
50,72,3,299.0,type1
0,0,0,0.0,type1
50,-26,2,221.5,type1
50,33,1,731.0,type1
50,57,3,304.666666667,type1
0,0,0,0.0,type1
50,-45,4,228.5,type1
50,49,2,250.5,type1
50,-5,2,466.0,type1
50,-34,2,615.5,type1
50,-21,5,211.8,type1
50,9,4,325.25,type1
50,-30,3,301.333333333,type1
50,-11,2,336.5,type1
50,-9,1,952.0,type1
50,-11,1,677.0,type1
50,65,1,814.0,type1
50,-4,1,653.0,type1
50,65,1,529.0,type1
50,-41,3,323.666666667,type1
50,55,1,719.0,type1
0,0,0,0.0,type1
40,50,10,661.6,type1
30,-5,8,348.25,type1
40,43,7,476.857142857,type1
40,-8,7,529.571428571,type1
30,42,11,370.0,type1
30,29,7,511.142857143,type1
40,-45,8,894.5,type1
30,54,4,783.75,type1
40,-10,4,843.25,type1
40,40,9,395.777777778,type1
50,30,4,365.25,type1
50,-20,5,734.4,type1
50,-40,7,506.142857143,type1
40,-26,7,476.857142857,type1
50,-3,7,553.714285714,type1
30,18,5,679.2,type1
50,70,4,830.25,type1
40,-42,7,598.571428571,type1
40,29,2,335.5,type1
40,-10,5,640.6,type1
50,-37,3,978.0,type1
30,26,2,1355.5,type1
30,-47,3,1240.0,type1
40,-42,3,1188.33333333,type1
40,7,3,1184.33333333,type1
40,7,2,1452.0,type1
50,43,3,1015.66666667,type1
30,-32,2,1687.5,type1
40,-28,3,1162.66666667,type1
40,8,4,924.5,type1
50,9,7,613.857142857,type1
50,59,5,336.8,type1
50,-20,6,362.5,type1
50,1,8,638.375,type1
50,-29,6,541.5,type1
50,-16,5,504.4,type1
50,-32,5,630.0,type1
40,-42,6,566.166666667,type1
50,-24,6,864.333333333,type1
50,-35,6,790.0,type1
50,-35,5,293.6,type1
50,-18,6,942.666666667,type1
50,-32,5,554.6,type1
50,-38,5,544.4,type1
50,-33,6,781.666666667,type1
50,-22,3,707.333333333,type1
50,-31,5,535.4,type1
50,-40,1,2673.0,type1
40,43,2,478.0,type1
40,-14,4,584.0,type1
50,-28,4,562.5,type1
50,28,4,562.5,type1
40,-22,2,1535.5,type1
50,-21,3,840.0,type1
50,-48,4,629.0,type1
50,-14,2,1375.5,type1
40,-27,1,2149.0,type1
50,-38,2,1218.5,type1
50,41,5,556.4,type1
50,-20,2,1614.0,type1
40,18,2,1654.0,type1
40,43,4,301.5,type1
40,51,3,593.333333333,type1
50,30,3,1002.0,type1
50,55,3,569.0,type1
40,37,5,674.4,type1
40,-14,7,747.285714286,type1
50,-6,6,262.0,type1
50,39,4,448.0,type1
40,60,5,298.4,type1
50,5,3,268.333333333,type1
40,61,4,463.25,type1
40,-17,4,459.25,type1
30,62,4,421.25,type1
40,39,5,386.0,type1
50,30,2,745.5,type1
40,-32,2,980.0,type1
50,33,3,559.666666667,type1
50,-6,2,327.5,type1
50,10,3,409.333333333,type1
40,24,1,1281.0,type1
40,-29,6,287.666666667,type1
50,21,4,553.5,type1
40,16,3,600.666666667,type1
50,51,2,873.0,type1
30,-26,5,387.2,type1
40,16,2,762.5,type1
50,-16,3,632.666666667,type1
30,8,1,1460.0,type1
30,67,1,1716.0,type1
50,-36,8,547.0,type1
0,0,0,0.0,type1
50,-39,2,1129.5,type1
50,67,5,468.4,type1
50,-38,3,1015.33333333,type1
50,56,6,705.5,type1
0,0,0,0.0,type1
50,-21,4,568.75,type1
0,0,0,0.0,type1
50,20,4,633.25,type1
50,-21,4,256.0,type1
40,-16,6,508.5,type1
50,9,8,374.125,type1
50,-28,8,415.25,type1
0,0,0,0.0,type1
50,22,4,578.75,type1
40,-40,3,816.333333333,type1
50,6,2,1298.5,type1
50,-18,2,568.0,type1
0,0,0,0.0,type1
50,-19,1,2163.0,type1
50,3,2,1143.5,type1
50,-2,4,843.75,type1
40,-41,2,1251.0,type1
40,-7,2,1351.5,type1
50,24,1,2272.0,type1
40,49,2,1291.0,type1
50,-23,2,1213.0,type1
50,-20,1,2438.0,type1
50,70,1,2503.0,type1
40,46,4,575.0,type1
40,-6,5,154.0,type1
30,61,4,423.0,type1
50,-6,6,801.666666667,type1
30,-45,3,647.333333333,type1
40,24,6,789.833333333,type1
50,-7,4,1299.5,type1
50,58,3,466.333333333,type1
50,-17,8,522.25,type1
30,-16,5,669.4,type1
40,26,3,239.0,type1
40,-4,6,388.666666667,type1
30,1,5,722.8,type1
30,-43,5,521.6,type1
40,-48,7,443.857142857,type1
40,19,3,503.666666667,type1
40,-26,3,511.666666667,type1
40,28,2,1086.0,type1
50,-21,2,296.5,type1
30,3,3,600.666666667,type1
40,54,1,971.0,type1
50,52,3,625.333333333,type1
40,71,3,813.666666667,type1
40,39,1,1240.0,type1
40,61,2,751.0,type1
40,16,5,418.8,type1
40,58,2,917.0,type1
50,19,2,763.0,type1
40,-15,2,825.5,type1
30,43,2,1046.0,type1
40,-16,6,872.666666667,type1
50,-45,6,357.5,type1
50,-18,5,409.4,type1
50,-42,6,340.833333333,type1
50,-40,6,425.333333333,type1
50,-39,4,357.25,type1
50,-2,5,676.4,type1
50,-32,3,541.666666667,type1
40,-20,2,683.5,type1
50,-2,7,304.714285714,type1
50,-14,2,143.0,type1
